"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176","35074","41.177.202.202","53","2","390","1","98","1","292","119.326378000","0.0001","N/A","N/A"
"41.177.26.176","35075","41.177.202.202","53","2","319","1","87","1","232","119.476560000","0.0001","N/A","N/A"
"244.3.39.61","138","244.3.39.235","138","2","494","2","494","0","0","121.145999000","0.0001","26346666.67","N/A"
"41.177.26.176","35169","41.177.202.202","53","2","346","1","90","1","256","121.883149000","0.0001","N/A","N/A"
"41.177.26.176","35176","41.177.202.202","53","2","351","1","96","1","255","121.906164000","0.0001","N/A","N/A"
"41.177.26.176","35413","41.177.202.202","53","2","390","1","98","1","292","127.719935000","0.0001","N/A","N/A"
"41.177.26.176","35489","41.177.202.202","53","2","319","1","87","1","232","129.360947000","0.0001","N/A","N/A"
"41.177.26.176","35500","41.177.202.202","53","2","390","1","98","1","292","129.467882000","0.0001","N/A","N/A"
"41.177.26.176","35527","41.177.202.202","53","2","390","1","98","1","292","130.287420000","0.0001","N/A","N/A"
"41.177.26.176","35551","41.177.202.202","53","2","319","1","87","1","232","131.113067000","0.0001","N/A","N/A"
"41.177.26.176","35553","41.177.202.202","53","2","319","1","87","1","232","131.130090000","0.0001","N/A","N/A"
