"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Oracle_2b:9d:5c","Broadcast","3","192","3","192","0","0","49.949862000","0.0001","14912621.36","N/A"
"Dell_f8:dd:4c","Broadcast","3","192","3","192","0","0","99.592642000","0.0001","18962962.96","N/A"
"Oracle_f4:38:ca","Broadcast","2","128","2","128","0","0","79.958946000","0.0001","14628571.43","N/A"
"Oracle_f8:1b:a2","Broadcast","2","128","2","128","0","0","48.970042000","0.0001","15515151.51","N/A"
"Oracle_ad:41:2b","Broadcast","2","128","2","128","0","0","203.947530000","0.0001","15753846.15","N/A"
"Oracle_b3:d9:75","Broadcast","2","128","2","128","0","0","49.964242000","0.0001","16000000.00","N/A"
"Oracle_44:af:6c","Broadcast","2","128","2","128","0","0","144.509570000","0.0001","16253968.25","N/A"
"Dell_66:9e:1a","Broadcast","2","494","2","494","0","0","73.807560000","0.0001","64786885.24","N/A"
"IntelCor_77:c7:63","Broadcast","2","128","2","128","0","0","85.677910000","0.0001","17066666.67","N/A"
"Oracle_3f:40:4b","Broadcast","2","128","2","128","0","0","114.635069000","0.0001","17066666.67","N/A"
"Oracle_b3:db:e1","Broadcast","2","128","2","128","0","0","130.617935000","0.0001","17355932.20","N/A"
"Oracle_b3:dc:99","Broadcast","2","128","2","128","0","0","127.159041000","0.0001","17655172.42","N/A"
"Oracle_eb:cf:7a","Broadcast","2","128","2","128","0","0","153.222406000","0.0001","17964912.28","N/A"
"Oracle_a4:d0:3c","Broadcast","2","128","2","128","0","0","210.908846000","0.0001","17964912.28","N/A"
"Oracle_d4:6c:bc","Broadcast","2","128","2","128","0","0","134.147114000","0.0001","18618181.82","N/A"
"Oracle_e2:e7:ec","Broadcast","2","128","2","128","0","0","14.442139000","0.0001","18618181.82","N/A"
"Oracle_b3:de:59","Broadcast","2","128","2","128","0","0","22.718873000","0.0001","18618181.82","N/A"
"Oracle_d3:81:08","Broadcast","2","128","2","128","0","0","47.090268000","0.0001","19320754.72","N/A"
"Oracle_15:31:fb","Broadcast","2","128","2","128","0","0","14.532386000","0.0001","19692307.69","N/A"
"Oracle_f8:1b:52","Broadcast","2","128","2","128","0","0","173.995336000","0.0001","19692307.70","N/A"
"Oracle_d3:84:50","Broadcast","2","128","2","128","0","0","147.572922000","0.0000","20480000.01","N/A"
"Dell_e3:c9:3e","Broadcast","2","128","2","128","0","0","22.894767000","0.0000","20897959.18","N/A"
"Oracle_f4:0c:92","Broadcast","2","128","2","128","0","0","187.777307000","0.0000","21333333.34","N/A"
"Oracle_b3:dc:45","Broadcast","2","128","2","128","0","0","171.801180000","0.0000","22260869.55","N/A"
