"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"244.3.153.156","1543","41.177.202.249","445","39","4372","23","2357","16","2015","9.920336000","212.7559","88.63","75.77"
"151.77.15.155","3876","41.177.241.46","443","46","3643","23","1982","23","1661","16.926997000","212.7363","74.53","62.46"
"151.77.15.128","3055","41.177.241.46","443","44","3410","22","1813","22","1597","11.978265000","212.6384","68.21","60.08"
"151.77.15.13","49197","41.177.241.46","443","44","3602","22","2005","22","1597","13.806904000","212.2364","75.58","60.20"
"41.106.180.77","47084","41.177.241.46","443","46","3565","23","1877","23","1688","8.570756000","212.0908","70.80","63.67"
"41.177.98.220","7030","41.177.199.31","1555","243","39322","123","24082","120","15240","17.514318000","211.8895","909.23","575.39"
"41.177.3.224","52682","41.177.117.184","1618","567","316029","286","180189","281","135840","9.241135000","211.8094","6805.70","5130.65"
"90.48.117.203","49370","41.177.241.46","443","46","3565","23","1877","23","1688","5.933240000","211.6883","70.93","63.79"
"41.177.3.224","9510","41.177.143.72","1275","1733","1653558","1006","1288447","727","365111","0.096389000","211.3419","48772.04","13820.68"
"41.177.98.220","7030","41.177.168.68","1416","203","33776","103","21154","100","12622","9.213905000","211.0175","801.98","478.52"
"41.177.3.224","43838","41.177.117.184","1607","2540","1202251","1292","637186","1248","565065","0.740497000","210.6501","24198.84","21459.85"
"41.177.3.224","40016","41.177.117.184","1607","381","235911","195","136356","186","99555","13.004788000","210.5657","5180.56","3782.38"
"41.177.3.203","36735","41.177.3.224","1791","381","243055","198","141734","183","101321","13.901567000","210.4221","5388.56","3852.10"
"41.177.3.224","40118","41.177.117.184","1613","377","236443","196","136760","181","99683","10.277091000","210.3909","5200.22","3790.39"
"41.106.176.15","42496","41.177.241.46","443","106","12244","51","6898","55","5346","17.360305000","210.3554","262.34","203.31"
"41.177.3.224","51305","41.177.117.184","1605","195","54210","105","28680","90","25530","14.717115000","210.3233","1090.89","971.08"
"41.177.3.224","38680","41.177.117.184","1607","195","54045","105","28740","90","25305","13.638277000","210.1422","1094.12","963.35"
"41.177.244.142","49225","244.3.210.90","548","78","6273","39","3129","39","3144","5.620364000","210.0125","119.19","119.76"
"244.3.153.197","49699","41.177.24.241","5222","27","5354","16","2024","11","3330","2.423617000","209.7873","77.18","126.99"
"244.3.153.13","1251","41.177.202.249","445","96017","15805073","48231","7753233","47786","8051840","27.538439000","206.9393","299729.77","311273.52"
"253.254.77.24","3601","253.37.253.43","23","44","37326","0","0","44","37326","19.161195000","205.9649","N/A","1449.80"
"244.3.210.254","19813","41.177.244.128","2743","12","804","6","402","6","402","12.408417000","203.7873","15.78","15.78"
"168.67.39.121","1450","244.3.210.197","80","384","313896","167","42691","217","271205","13.954360000","201.6032","1694.06","10761.93"
"41.177.3.224","9506","41.177.143.106","2879","2850","2773167","1682","2144716","1168","628451","0.097684000","200.6062","85529.39","25062.08"
"244.3.210.254","19813","41.177.244.90","3965","12","804","6","402","6","402","0.781917000","200.5577","16.04","16.04"
"244.3.153.67","1359","41.177.202.249","445","1512","213206","760","114204","752","99002","28.829773000","200.5424","4555.80","3949.37"
"244.3.210.254","19813","41.177.244.38","2157","12","804","6","402","6","402","23.857609000","200.5385","16.04","16.04"
"244.3.210.254","19813","41.177.244.142","4944","12","804","6","402","6","402","16.891444000","200.5044","16.04","16.04"
"244.3.210.254","19813","244.3.106.254","4227","12","804","6","402","6","402","33.923606000","200.4727","16.04","16.04"
"244.3.210.254","19813","41.177.244.141","4752","12","804","6","402","6","402","14.724942000","200.4707","16.04","16.04"
"244.3.210.254","19813","244.3.3.185","1742","12","804","6","402","6","402","15.931146000","200.4401","16.04","16.04"
"244.3.210.254","19813","41.177.244.220","2860","12","804","6","402","6","402","10.558545000","200.4369","16.04","16.04"
"41.177.3.224","43840","41.177.117.184","1607","2473","1174448","1257","620440","1216","554008","0.073240000","200.4076","24767.13","22115.25"
"41.177.244.177","63123","244.3.210.254","19813","12","912","6","456","6","456","30.130125000","200.2303","18.22","18.22"
"41.106.176.15","30525","41.177.241.46","443","84","9083","42","6019","42","3064","17.936169000","200.1900","240.53","122.44"
"41.177.244.124","55919","244.3.210.254","19813","12","912","6","456","6","456","23.758208000","200.1188","18.23","18.23"
"41.106.176.15","28445","41.177.241.46","443","175","23422","74","12296","101","11126","15.489897000","200.0984","491.60","444.82"
"41.177.244.177","54781","244.3.210.254","19813","13","1022","7","532","6","490","18.058024000","199.9037","21.29","19.61"
"41.177.93.203","1133","244.3.41.84","23","48","25864","20","2262","28","23602","4.475289000","199.1743","90.86","947.99"
"41.177.98.143","8001","82.181.188.253","1305","61","6563","29","3328","32","3235","35.501461000","198.5592","134.09","130.34"
"41.177.98.220","7010","244.3.185.203","1299","103","75781","64","72248","39","3533","16.016401000","197.2778","2929.80","143.27"
"41.177.98.220","7010","244.3.185.201","2175","24","3447","9","1638","15","1809","25.456746000","197.2687","66.43","73.36"
"244.3.153.117","49379","41.177.24.241","5222","30","5228","15","3264","15","1964","22.297417000","197.2013","132.41","79.67"
"41.177.93.17","1149","244.3.41.84","23","29","2279","29","2279","0","0","35.316613000","196.6747","92.70","N/A"
"244.3.153.209","4213","244.3.176.224","445","2944","1072932","1431","343024","1513","729908","27.284333000","196.3792","13973.94","29734.64"
"41.177.3.224","9508","41.177.143.72","1400","1896","1827393","1102","1412387","794","415006","0.673339000","196.3273","57552.34","16910.78"
"244.3.79.176","1684","41.177.98.167","1521","465","65103","234","27738","231","37365","27.183119000","195.7255","1133.75","1527.24"
"41.177.3.224","9507","41.177.143.106","3576","3058","3004118","1806","2291065","1252","713053","0.358150000","195.5330","93736.21","29173.72"
"244.3.41.84","2652","244.3.31.67","1592","202","70934","105","39829","97","31105","11.245901000","195.3698","1630.92","1273.69"
"41.177.56.222","1620","244.3.41.84","23","126","31026","57","4784","69","26242","28.556408000","195.2498","196.02","1075.22"
"41.177.98.220","7030","41.177.110.39","1758","67","12263","32","8063","35","4200","25.644454000","194.7796","331.16","172.50"
"41.177.98.220","7010","244.3.142.138","2387","138","46622","64","38611","74","8011","37.128845000","194.6752","1586.68","329.20"
"244.3.241.204","2309","244.3.160.239","80","5","328","0","0","5","328","10.924426000","191.9977","N/A","13.67"
"253.213.108.188","1894","253.37.253.43","23","26","27786","0","0","26","27786","0.925973000","191.7583","N/A","1159.21"
"41.177.3.224","9502","41.177.143.106","3079","2453","2403365","1450","1860132","1003","543233","0.960302000","190.3366","78182.82","22832.51"
"41.177.244.224","63522","244.3.210.254","19813","14","1104","8","614","6","490","32.922588000","190.2551","25.82","20.60"
"244.3.111.39","1450","244.3.41.84","23","35","16133","16","3945","19","12188","16.646944000","189.6887","166.38","514.02"
"253.213.108.145","1509","253.37.253.43","23","46","51959","0","0","46","51959","18.793381000","188.0735","N/A","2210.16"
"203.22.116.204","1711","244.3.41.84","23","44","15659","25","1721","19","13938","32.453113000","187.9052","73.27","593.41"
"253.180.108.127","1230","253.37.253.43","23","138","47987","0","0","138","47987","12.478209000","184.0039","N/A","2086.35"
"194.66.204.209","4513","244.3.41.84","23","212","93014","103","8277","109","84737","44.182863000","183.5694","360.71","3692.86"
"41.177.24.241","5222","244.3.153.156","1191","33","5796","17","4028","16","1768","21.822691000","183.3398","175.76","77.15"
"244.3.41.84","2632","244.3.31.67","1592","111","48284","58","28811","53","19473","0.283521000","183.1210","1258.67","850.72"
"41.177.98.220","7010","244.3.142.22","1125","364","263297","208","249271","156","14026","3.561020000","182.5799","10922.17","614.57"
