"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"299720","72.309932","244.3.160.204","244.3.160.239","TCP","35162","80","64","0.001266000","1","72.309932000","Not set","Set","3566","35162  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"299721","72.310059","244.3.160.204","244.3.160.239","TCP","35162","80","64","0.000127000","1","72.310059000","Not set","Set","3566","35162  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"299722","72.310165","244.3.160.239","244.3.160.204","TCP","80","35162","64","0.000106000","1","72.310165000","Not set","Set","3566","80  >  35162 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"299726","72.310600","244.3.160.239","244.3.160.204","TCP","80","35162","64","0.000227000","1","72.310600000","Not set","Set","3566","80  >  35162 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"299984","72.381533","244.3.160.204","244.3.160.239","TCP","35162","80","64","0.000080000","2","72.381533000","Not set","Set","3566","35162  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"300067","72.403730","244.3.160.239","244.3.160.204","TCP","443","35160","64","0.001593000","1","72.403730000","Not set","Set","3564","443  >  35160 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"300251","72.429556","244.3.160.204","244.3.160.239","TCP","35160","443","64","0.000082000","2","72.429556000","Not set","Set","3564","35160  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"304138","74.206541","244.3.160.204","244.3.160.239","TCP","35499","443","64","0.000057000","0","74.206541000","Set","Not set","3638","35499  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"304142","74.206646","244.3.160.239","244.3.160.204","TCP","443","35499","64","0.000004000","0","74.206646000","Set","Set","3638","443  >  35499 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"304143","74.206828","244.3.160.204","244.3.160.239","TCP","35500","8080","64","0.000182000","0","74.206828000","Set","Not set","3639","35500  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"304145","74.206903","244.3.160.239","244.3.160.204","TCP","8080","35500","64","0.000039000","1","74.206903000","Not set","Set","3639","8080  >  35500 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"304148","74.207167","244.3.160.204","244.3.160.239","TCP","35501","80","64","0.000060000","0","74.207167000","Set","Not set","3640","35501  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"304150","74.207262","244.3.160.239","244.3.160.204","TCP","80","35501","64","0.000033000","0","74.207262000","Set","Set","3640","80  >  35501 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"304355","74.306272","244.3.160.204","244.3.160.239","TCP","35499","443","64","0.001793000","1","74.306272000","Not set","Set","3638","35499  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"304356","74.306395","244.3.160.204","244.3.160.239","TCP","35499","443","64","0.000123000","1","74.306395000","Not set","Set","3638","35499  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"304357","74.306467","244.3.160.239","244.3.160.204","TCP","443","35499","64","0.000072000","1","74.306467000","Not set","Set","3638","443  >  35499 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"304359","74.307828","244.3.160.204","244.3.160.239","TCP","35501","80","64","0.000569000","1","74.307828000","Not set","Set","3640","35501  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"304360","74.307983","244.3.160.204","244.3.160.239","TCP","35501","80","64","0.000155000","1","74.307983000","Not set","Set","3640","35501  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"304361","74.308059","244.3.160.239","244.3.160.204","TCP","80","35501","64","0.000076000","1","74.308059000","Not set","Set","3640","80  >  35501 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
