frame.number,tcp.analysis.ack_rtt
746188,0.063639000
746938,0.201967000
751576,
751594,0.004597000
751914,0.091404000
752685,0.205473000
757853,
757871,0.006554000
758106,0.057503000
759028,0.192472000
759253,
760024,0.192235000
765842,
765907,0.008272000
766422,0.087880000
767369,0.193539000
777161,
777819,0.195065000
778795,
778863,0.013113000
779144,0.066806000
780230,0.198773000
780275,
780340,0.006492000
780820,0.057474000
781622,0.192473000
782113,
782167,0.013796000
782610,0.066059000
783304,
783308,0.000490000
783346,
783626,0.071595000
784481,0.193997000
788270,
788274,0.000887000
788604,0.103307000
788983,
788985,0.000404000
789403,
789768,
789769,0.000454000
791640,
792035,
792046,0.000431000
792587,
792938,
792941,0.000468000
793389,
793842,
793844,0.000453000
794358,
794879,
794880,0.000430000
795399,
796558,0.197832000
797723,
798328,0.197144000
799890,
800301,
800303,0.000442000
800821,
801405,
801408,0.000448000
801930,
802358,
802362,0.000478000
802767,
803176,
803179,0.000463000
803593,
804045,
804046,0.000420000
804228,
804243,0.007022000
804272,
804411,0.048574000
804612,
804656,
804657,0.000398000
805407,
806043,0.193827000
806083,
806087,0.001238000
806150,
806422,0.048379000
806599,
807375,0.193938000
807558,
807989,
807990,0.000428000
808739,
809614,0.197405000
813472,
813497,0.007048000
814088,0.105029000
814319,
814321,0.000465000
814327,
814858,0.125178000
815161,
815164,0.000480000
815238,
815744,0.114656000
816397,0.197821000
817253,
817274,0.002619000
817700,0.093249000
818821,0.203719000
819264,
819339,0.009536000
819505,0.054309000
820596,0.195644000
820703,
820708,0.003124000
821048,0.092742000
821173,
821176,0.000843000
821219,
821651,0.096405000
821709,
821711,0.000436000
821779,
822040,0.051161000
822433,
822434,0.000447000
822472,
822659,0.055169000
823788,
823797,0.000400000
823806,
823932,
824763,0.189183000
824890,0.244560000
828497,
828521,0.007699000
829006,0.104426000
829700,0.192421000
832449,
832452,0.000872000
832491,
832656,0.063495000
833157,0.178145000
833558,0.202120000
859517,
859524,0.000781000
860041,0.103235000
860635,
860638,0.000434000
861165,
861526,
861529,0.000476000
861950,
862233,
862234,0.000456000
862517,
862907,
862910,0.000462000
863164,
863558,
863559,0.000463000
863668,
863680,0.006352000
863687,
863692,
863708,
863713,
863963,0.049182000
863968,
863985,
864051,0.048618000
864319,0.048798000
864473,0.066842000
864488,0.003387000
864833,0.100645000
865105,
865106,0.000473000
865553,
865888,
865890,0.000475000
866781,
867536,
867538,0.000465000
870004,
870995,0.200169000
871622,
872491,0.192212000
873372,
874161,0.198023000
875188,
876014,0.197778000
877464,
877917,
877920,0.000407000
878291,
879501,
879515,0.000471000
880476,
880965,
880966,0.000388000
881384,
881917,
881919,0.000456000
882449,
882932,
882935,0.000482000
883328,
883739,
883744,0.000445000
884121,
884602,
884604,0.000443000
884646,
884919,0.085870000
884941,
884944,0.000424000
885189,
885459,
885460,0.000471000
885812,
886222,
886223,0.000480000
886571,
886925,
886926,0.000465000
887242,
887491,
887492,0.000535000
887804,
888130,
888134,0.000472000
888394,
888969,
888972,0.000487000
889327,
889711,
889712,0.000458000
890188,
890928,
890934,0.000366000
891570,
891644,0.011248000
892176,0.098155000
892209,0.011260000
892585,0.119423000
893303,0.193361000
893858,
894722,0.199383000
895147,
895907,0.191968000
897046,
898070,0.197756000
899174,
899898,0.201613000
900046,
900715,
900716,0.000437000
901880,
902260,
902267,0.000448000
902738,
903222,
903224,0.000454000
903616,
904046,
904047,0.000482000
904327,
904665,
904666,0.000474000
904704,
905245,0.100941000
905736,
905739,0.000498000
906050,
906095,0.011218000
906406,0.101748000
907114,
907115,0.000412000
907148,
907785,0.195909000
907795,0.006225000
907824,
907958,0.048391000
908020,
908046,0.005214000
908292,0.098919000
908997,0.197913000
909893,
910375,
910378,0.000442000
910744,
911126,
911135,0.000425000
911451,
911845,
911846,0.000432000
912393,
912684,
912685,0.000411000
912898,
913272,
913275,0.000438000
913560,
913830,
913833,0.000463000
914278,
914613,
914618,0.000450000
915100,
915605,
915607,0.000464000
916021,
916275,
916278,0.000475000
916305,
916790,0.126064000
917191,
917192,0.000419000
917206,
917910,0.162884000
918386,
918387,0.000419000
918870,
919345,
919346,0.000709000
919592,
919617,0.007461000
919658,
919911,0.049282000
920314,
921152,0.191401000
922130,
922539,
922540,0.000483000
922978,
923884,
923890,0.000506000
924846,
925373,
925374,0.000494000
925673,
925941,
925944,0.000495000
925957,
926290,0.145609000
926334,0.010762000
926384,
926488,0.048652000
926960,
927030,0.012397000
927057,
927169,0.048656000
927299,
928028,0.226994000
928369,
928372,0.000478000
929416,
929660,
929661,0.000481000
929975,
930228,
930230,0.000477000
930536,
930923,
930925,0.000492000
931359,
931429,0.011360000
931867,0.116761000
932306,
932317,0.000475000
932333,
932645,0.082105000
932689,0.011675000
933040,0.108422000
933329,
933332,0.000407000
933600,
933868,
933869,0.000520000
933890,
934123,0.054850000
934633,0.195517000
934718,
934722,0.001966000
934735,
934744,
934841,0.048308000
934977,
934978,
935108,0.049561000
935153,0.063972000
935358,
935359,0.000483000
935618,
935904,
935905,0.000458000
936175,
936430,
936432,0.000453000
936700,
937021,
937024,0.000457000
937472,
938002,
938003,0.000511000
938700,
939202,
939203,0.000404000
939465,
939784,
939787,0.000465000
940496,
940854,
940855,0.000425000
941215,
941609,
941611,0.000462000
942047,
942558,0.192545000
943060,
943310,
943314,0.000459000
944026,
944808,0.197134000
944874,
945481,
945485,0.001730000
